cost,charging_points,pay_at_location,is_operational,latitude,longitude,operator,connection_type,Address
Unknown,1,Unknown,Unknown,-32.1997712,152.5199677,Unknown,Unknown,"Breese Parade, Forster, Mid-Coast Council, New South Wales, 2428, Australia"
Unknown,2,Unknown,Unknown,-37.7719979,144.9789845,Unknown,Unknown,"Village Avenue, East Brunswick Village, Brunswick East, Melbourne, City of Merri-bek, Victoria, 3057, Australia"
Unknown,1,Unknown,Unknown,-34.6396148,143.5644882,NRMA,CHAdeMO,"Market Street, Balranald, Balranald Shire Council, New South Wales, 2715, Australia"
Unknown,1,Unknown,Unknown,-37.9208333,145.1400183,Unknown,Type 2 (Socket Only),"Blackburn Road, Clayton, Melbourne, City of Monash, Victoria, 3168, Australia"
Unknown,1,Unknown,Unknown,-35.2998964,149.190361,Unknown,Type 2 (Socket Only),"Lancaster Drive, Canberra, Australian Capital Territory, 2609, Australia"
Unknown,1,Unknown,Unknown,-35.279627,149.1283604,Evie Networks,CHAdeMO,"London Circuit, City, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia"
Unknown,4,Unknown,Unknown,-35.2801903,149.1354521,Unknown,Type 2 (Socket Only),"Akuna Street, City, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia"
Unknown,1,Unknown,Unknown,-35.3224367,149.165535,Chargefox,CHAdeMO,"Entrance 1, Fyshwick, Canberra, District of Canberra Central, Australian Capital Territory, 2609, Australia"
Unknown,1,Unknown,Unknown,-33.8908025,151.2762714,Unknown,Unknown,"Queen Elizabeth Drive, Six Ways, Bondi Beach, Eastern Suburbs, Sydney, Waverley Council, New South Wales, 2026, Australia"
Unknown,1,Unknown,Unknown,-42.6817118,146.7164989,Mt Field Visitor Centre,Type 2 (Socket Only),"Russell Falls Creek Track, Derwent Valley, Tasmania, Australia"
Unknown,1,Unknown,Unknown,-43.0312044,147.0474304,Huon Valley Council,Type 2 (Socket Only),"Main Street, Southbridge, Huonville, Huon Valley, Tasmania, 7109, Australia"
Unknown,1,Unknown,Unknown,-42.8816834,147.3354788,TasPorts,Type 2 (Socket Only),"Hunter Street, Hobart, City of Hobart, Tasmania, 7000, Australia"
Unknown,4,Unknown,Unknown,-27.4157668,153.077346,Evie Networks,Unknown,"The Circuit, Brisbane Airport, Greater Brisbane, Queensland, 4008, Australia"
0.25 AU/kWh,1,Unknown,Unknown,-41.0498769,145.90733,Electric Highway Tasmania,"Type 2 (Socket Only), CHAdeMO","Electric Highway Tasmania, North Terrace, Burnie, City of Burnie, Tasmania, 7320, Australia"
Unknown,2,Unknown,Unknown,-23.3821063,150.5132751,Yurika,"Type 2 (Socket Only), CHAdeMO","Yurika, Alma Street, Rockhampton City, Rockhampton, Rockhampton Regional, Queensland, 7200, Australia"
Unknown,1,Unknown,Unknown,-23.3558309,150.5222122,Unknown,Unknown,"Musgrave Street, Berserker, Rockhampton, Rockhampton Regional, Queensland, 4701, Australia"
Unknown,1,Unknown,Unknown,-33.7693688,150.7352534,Unknown,Unknown,"Corr Road, Caddens, Sydney, Penrith City Council, New South Wales, 2747, Australia"
Unknown,1,Unknown,Unknown,-33.9791934,115.7649217,Unknown,Unknown,"Adam Street, Nannup, Shire Of Nannup, Western Australia, 6275, Australia"
Unknown,1,Unknown,Unknown,-33.280911,149.0994869,"Tesla, Inc.",Unknown,"Tesla Destination Charger, 246, Anson Street, Orange, Orange City Council, New South Wales, 2800, Australia"
Unknown,1,Unknown,Unknown,-33.3333919,149.0432132,"Tesla, Inc.",Unknown,"Tesla Destination Charger, Wallace Lane, Campbells Corner, Canobolas, Orange City Council, New South Wales, 2800, Australia"
Unknown,1,Unknown,Unknown,-37.6784969,145.0730497,Evie Networks,Unknown,"100, Janefield Drive, Bundoora, Melbourne, City of Whittlesea, Victoria, 3083, Australia"
Unknown,1,Unknown,Unknown,-29.0572225,152.0189641,NRMA,Unknown,"Miles Street, Tenterfield, Tenterfield Shire Council, New South Wales, 2372, Australia"
Unknown,1,Unknown,Unknown,-37.7227909,144.5721618,Evie Networks,CHAdeMO,"Elpis Road, Opalia, Weir Views, Melbourne, City of Melton, Victoria, 3338, Australia"
Unknown,2,Unknown,Unknown,-34.524747,138.9586197,NRMA,CHAdeMO,"John Street, Tanunda, The Barossa Council, South Australia, 5352, Australia"
Unknown,4,Unknown,Unknown,-37.9279602,145.1431387,Unknown,Unknown,"917, Princes Highway, Springvale, Melbourne, City of Greater Dandenong, Victoria, 3171, Australia"
Unknown,1,Unknown,Unknown,-35.3549489,145.7250878,NRMA,CHAdeMO,"Powell Street, Jerilderie, Murrumbidgee Council, New South Wales, 2716, Australia"
Unknown,1,Unknown,Unknown,-28.0293919,153.434591,Unknown,Unknown,"Gold Coast Oceanway, Broadbeach, Gold Coast City, Queensland, 4218, Australia"
Unknown,1,Unknown,Unknown,-41.0035878,147.3947423,Unknown,Unknown,"Main Street, Bridport, Dorset, Tasmania, 7262, Australia"
Unknown,2,Unknown,Unknown,-38.757058,143.6683449,Unknown,Unknown,"Pascoe Street, Apollo Bay, Shire of Colac Otway, Victoria, 3233, Australia"
Unknown,1,Unknown,Unknown,-37.8810561,147.9849476,"Tesla, Inc.",Unknown,"Tesla, Inc., Mechanics Street, Lakes Plaza, Lakes Entrance, Shire of East Gippsland, Victoria, 3909, Australia"
Unknown,2,Unknown,Unknown,-38.4513659,145.2402838,EVolution,Unknown,"Church Street, Cowes, Bass Coast Shire, Victoria, 3922, Australia"
Unknown,1,Unknown,Unknown,-41.5824743,145.9366036,Tasmanian Parks & Wildlife,Type 2 (Socket Only),"Cradle Mountain Road, Pencil Pine, Cradle Mountain, Kentish, Tasmania, 7306, Australia"
Unknown,1,Unknown,Unknown,-37.8292531,145.056178,Tesla Supercharger,Unknown,"Tesla Supercharger, Camberwell Grove, Hawthorn East, Melbourne, City of Boroondara, Victoria, 3123, Australia"
Unknown,2,Unknown,Unknown,-24.327605,151.5605055,Yurika,"Type 2 (Socket Only), CHAdeMO","Yurika, Blomfield Street, Miriam Vale, Gladstone Regional, Queensland, Australia"
Unknown,2,Unknown,Unknown,-19.5755234,147.404019,Yurika,"Type 2 (Socket Only), CHAdeMO","Yurika, Graham Street, Ayr CBD, Ayr, Burdekin Shire, Queensland, 4807, Australia"
Unknown,1,Unknown,Unknown,-19.2600757,146.8208282,ChargeStar,CHAdeMO,"Palmer Street, South Townsville, Townsville, Townsville City, Queensland, 4810, Australia"
Unknown,1,Unknown,Unknown,-32.9599116,151.6240709,Chargefox,Unknown,"Lakeview Street, Speers Point, Newcastle-Maitland, City of Lake Macquarie, New South Wales, 2284, Australia"
Unknown,2,Unknown,Unknown,-27.243335,153.0156633,Yurika,"Type 2 (Socket Only), CHAdeMO","Yurika, Bruce Highway, Mode, Mango Hill, North Lakes, Greater Brisbane, City of Moreton Bay, Queensland, 4509, Australia"
Unknown,2,Unknown,Unknown,-27.6379161,153.1355179,Yurika,"Type 2 (Socket Only), CHAdeMO","Yurika, 3539-3565, Pacific Highway, Slacks Creek, Greater Brisbane, Queensland, 4127, Australia"
